1092318	5.59	29.06989127216245
1192276	7.30	22.579078332874456
1202977	7.32	21.884204593270614
1227497	8.00	20.291988529810546
1308774	8.03	15.014233840175791
1314358	8.74	14.651634553945737
1324397	10.10	13.999748050639225
1430339	13.85	7.120361664216437
1535166	13.86	0.31337825131559127
1537504	16.12	0.16155928082743287
1537849	25.33	0.13915656704710155
1538019	56.49	0.12811754866259045
1538112	500.64	0.12207855625224026
1538369	502.31	0.10539015787094996
1538412	951.52	0.1025979355736913
1538558	951.53	0.09311736684346411
1539105	951.98	0.05759770180624315
1539639	2323.52	0.022922196998425966
1539713	3721.14	0.018116977231050553
1539931	4157.87	0.003961059537971626
1539992	63889.95	0.0
