1270631	15.23	7.661724298559439
1289915	19.62	6.260332935821886
1301538	19.65	5.415675613217728
1317498	21.71	4.2558433092719
1371632	52.79	0.32186073146466615
1372384	63.83	0.2672119913288728
1373829	83.55	0.1622021116796421
1373989	472.46	0.1505747201613882
0	0.33%	100.0
1374275	592.26	0.12979075782250932
1374345	1443.40	0.12470377403327323
1374495	1449.46	0.11380309448491019
1374499	3350.13	0.11351240969695385
1374513	27791.89	0.11249501293910662
1374515	154035.58	0.11234967054512845
1374602	157170.32	0.10602727640707788
1374786	193008.23	0.09265577616108589
1374798	194366.48	0.09178372179721685
1374962	194848.60	0.07986564549100658
1375010	263493.98	0.0763774280355304
1375011	264448.64	0.07630475683854132
1375031	271198.51	0.07485133289875957
1375143	275343.21	0.06671215883598183
1375352	344706.22	0.05152387866526266
1375557	344719.54	0.03662628328249983
1375767	345066.94	0.021365331914791567
1375884	345088.66	0.012862801867068395
1375892	347229.88	0.012281432291155699
1376058	399723.65	2.1801359096726091E-4
1376061	406967.59	0.0
