579879.0000	83.73
579879.0000	92.42
579879.0000	94.65
579879.0000	99.68
592007.0000	100.74
629087.0000	100.83
635836.0000	100.88
635836.0000	101.64
645840.0000	121.85
646765.0000	121.96
649375.0000	122.05
649375.0000	122.14
649375.0000	127.18
649375.0000	135.30
649375.0000	137.40
649375.0000	144.47
649375.0000	150.04
649375.0000	156.49
649375.0000	164.38
649375.0000	170.08
649375.0000	172.57
649375.0000	180.89
649375.0000	185.14
649375.0000	186.78
649375.0000	188.70
649375.0000	192.74
649375.0000	196.90
649375.0000	201.42
649375.0000	202.99
649375.0000	205.60
649375.0000	209.60
649375.0000	213.79
649375.0000	215.87
649375.0000	217.54
649375.0000	218.96
649375.0000	226.97
649375.0000	229.57
649375.0000	232.81
649375.0000	235.36
649375.0000	238.22
649375.0000	244.87
649375.0000	247.89
649375.0000	249.51
649375.0000	252.50
649375.0000	253.89
649375.0000	255.83
649375.0000	258.36
649375.0000	260.23
649375.0000	263.47
649375.0000	264.82
649375.0000	266.27
649375.0000	273.63
649375.0000	275.14
649375.0000	277.30
649375.0000	278.61
649375.0000	279.75
649375.0000	281.00
649375.0000	282.44
649375.0000	285.78
649375.0000	287.07
649375.0000	288.15
649375.0000	291.02
649375.0000	293.35
649375.0000	294.49
649375.0000	295.77
649375.0000	297.31
649375.0000	299.00
649375.0000	300.14
649375.0000	301.21
649375.0000	302.50
649375.0000	303.57
649375.0000	304.91
649375.0000	305.99
649375.0000	306.95
649375.0000	307.86
649375.0000	308.77
649375.0000	309.67
649375.0000	310.59
764692.0000	311.49
764692.0000	313.47
764692.0000	316.65
764692.0000	321.96
764692.0000	325.63
764692.0000	328.83
764692.0000	331.67
764692.0000	333.44
764692.0000	336.23
764692.0000	337.60
764692.0000	340.38
764692.0000	341.95
764692.0000	343.16
764692.0000	344.59
764692.0000	346.65
764692.0000	349.77
764692.0000	354.62
764692.0000	356.05
764692.0000	358.43
764692.0000	360.36
764692.0000	364.68
764692.0000	367.22
764692.0000	368.50
764692.0000	370.05
764692.0000	371.24
764692.0000	372.95
764692.0000	375.43
764692.0000	376.66
764692.0000	378.74
764692.0000	379.71
764692.0000	381.22
764692.0000	382.75
764692.0000	383.99
764692.0000	388.27
764692.0000	392.24
764692.0000	397.35
764692.0000	401.27
764692.0000	404.82
767242.0000	406.99
767242.0000	413.42
767242.0000	418.89
767242.0000	424.62
767242.0000	430.87
767242.0000	437.76
767242.0000	443.17
767242.0000	448.36
767242.0000	454.16
767242.0000	469.75
767242.0000	475.14
767242.0000	481.19
767242.0000	486.74
767242.0000	492.36
767242.0000	498.47
767242.0000	504.62
767242.0000	509.95
767242.0000	515.85
767242.0000	520.75
767242.0000	526.87
767242.0000	532.46
767242.0000	538.35
767242.0000	543.61
767242.0000	549.02
